PLACA;TIPO;CODCET;CGT;DATAHORA;VELOCIDADE;LATITUDE;LONGITUDE
;1;0420061113;042;2019-06-01 03:27:00;18;-23.000409;-43.334161
;1;0420171211;042;2019-06-01 01:16:04;51;;
;1;0420071124;042;2019-06-01 01:12:00;50;-23.001615;-43.328645
;1;0420061114;042;2019-06-01 03:30:04;21;-23.000409;-43.334161
;3;0420111113;042;2019-06-01 03:28:00;14;-22.963859;-43.394382
;1;0420071124;042;2019-06-01 03:27:03;14;-23.001615;-43.328645
;1;0420081124;042;2019-06-01 03:14:02;47;-23.003226;-43.324684
;1;0420081122;042;2019-06-01 01:17:00;47;-23.003226;-43.324684
;1;0420071113;042;2019-06-01 03:33:00;58;-23.00141;-43.328091
;1;0420081123;042;2019-06-01 03:25:02;44;-23.003226;-43.324684
AUN6009;1;0420131122;042;2019-06-01 03:31:05;82;-22.973217;-43.387464
;1;0420081122;042;2019-06-01 03:32:04;43;-23.003226;-43.324684
;1;0420071114;042;2019-06-01 01:12:01;57;-23.00141;-43.328091
;1;0420071114;042;2019-06-01 01:15:05;55;-23.00141;-43.328091
;3;0420081111;042;2019-06-01 03:18:00;09;-23.00303 ;-43.32414
;1;0420081112;042;2019-06-01 01:17:02;55;-23.00303 ;-43.32414
;1;0420141123;042;2019-06-01 03:15:02;36;-22.981046;-43.409698
;1;0420021123;042;2019-06-01 01:11:05;33;-23.000226;-43.353781
;1;0420081112;042;2019-06-01 06:19:02;23;-23.00303 ;-43.32414
;3;0420081111;042;2019-06-01 06:19:02;09;-23.00303 ;-43.32414
;1;0420021123;042;2019-06-01 03:26:02;39;-23.000226;-43.353781
;1;0420141122;042;2019-06-01 03:33:02;43;-22.981046;-43.409698
;1;0420101211;042;2019-06-01 01:13:02;12;-23.003679;-43.322327
;1;0420141123;042;2019-06-01 06:20:04;17;-22.981046;-43.409698
;1;0420181113;042;2019-06-01 03:18:04;50;-22.973304 ;-43.39867
;1;0420041222;042;2019-06-01 05:13:04;10;-23.000544;-43.339262
;3;0420181122;042;2019-06-01 05:14:00;36;-22.973215;-43.397949
;1;0420041123;042;2019-06-01 03:29:03;70;-23.000132 ;-43.33874
BXC4378;1;0420071113;042;2019-06-01 03:34:05;71;-23.00141;-43.328091
;1;0420071113;042;2019-06-01 03:39:01;69;-23.00141;-43.328091
;1;0420041212;042;2019-06-01 06:19:04;09;-23.000029;-43.339268
;1;0420041212;042;2019-06-01 03:37:00;69;-23.000029;-43.339268
;1;0420071114;042;2019-06-01 03:31:03;70;-23.00141;-43.328091
;1;0420041213;042;2019-06-01 06:20:02;60;-23.000029;-43.339268
;3;0420041213;042;2019-06-01 03:38:04;49;-23.000029;-43.339268
;1;0420131123;042;2019-06-01 03:41:04;10;-22.973217;-43.387464
;1;0420091111;042;2019-06-01 03:15:04;44;-23.003622 ;-43.32462
;1;0420121221;042;2019-06-01 03:23:01;52;-22.966068;-43.396717
;3;0420161222;042;2019-06-01 03:29:05;49;;
;1;0420071223;042;2019-06-01 03:22:00;13;-23.001678;-43.328644
;1;0420101222;042;2019-06-01 03:23:05;46;-23.004116;-43.322634
;1;0420111123;042;2019-06-01 06:21:03;57;-22.963742;-43.394364
;1;0420121221;042;2019-06-01 05:13:04;77;-22.966068;-43.396717
;1;0420161221;042;2019-06-01 03:19:00;32;;
;1;0420071222;042;2019-06-01 03:43:01;62;-23.001678;-43.328644
;3;0420071222;042;2019-06-01 03:48:00;60;-23.001678;-43.328644
;1;0420171123;042;2019-06-01 03:40:02;52;;
;1;0420121112;042;2019-06-01 01:13:03;63;-22.967687;-43.397829
;1;0420061212;042;2019-06-01 03:29:02;30;-23.000304;-43.334543
;1;0420061212;042;2019-06-01 06:20:02;36;-23.000304;-43.334543
;1;0420061212;042;2019-06-01 03:36:04;28;-23.000304;-43.334543
;1;0420061112;042;2019-06-01 01:15:00;02;-23.000409;-43.334161
;1;0420061114;042;2019-06-01 01:15:01;27;-23.000409;-43.334161
QNL6878;1;0420071123;042;2019-06-01 01:12:00;51;-23.001615;-43.328645
;1;0420111112;042;2019-06-01 01:14:04;24;-22.963859;-43.394382
;1;0420061113;042;2019-06-01 03:25:02;19;-23.000409;-43.334161
;1;0420111112;042;2019-06-01 03:16:04;73;-22.963859;-43.394382
;1;0420061223;042;2019-06-01 03:20:04;46;-23.000813;-43.334781
;3;0420061223;042;2019-06-01 03:23:02;08;-23.000813;-43.334781
;1;0420081124;042;2019-06-01 01:13:03;49;-23.003226;-43.324684
;1;0420081124;042;2019-06-01 01:13:04;44;-23.003226;-43.324684
;1;0420081123;042;2019-06-01 01:15:03;62;-23.003226;-43.324684
;1;0420081122;042;2019-06-01 01:17:00;43;-23.003226;-43.324684
;1;0420131123;042;2019-06-01 03:16:05;52;-22.973217;-43.387464
;1;0420081124;042;2019-06-01 03:19:05;40;-23.003226;-43.324684
NFV5135;1;0420081124;042;2019-06-01 03:21:03;13;-23.003226;-43.324684
;2;0420131122;042;2019-06-01 03:30:01;52;-22.973217;-43.387464
LPZ3826;1;0420041213;042;2019-06-01 03:21:03;08;-23.000029;-43.339268
PYO2717;1;0420081123;042;2019-06-01 03:30:05;51;-23.003226;-43.324684
;1;0420081124;042;2019-06-01 03:34:02;10;-23.003226;-43.324684
;1;0420181221;042;2019-06-01 03:15:01;11;-22.973304 ;-43.39867
;1;0420081112;042;2019-06-01 03:17:05;15;-23.00303 ;-43.32414
;1;0420081112;042;2019-06-01 01:17:01;71;-23.00303 ;-43.32414
;3;0420101212;042;2019-06-01 03:18:01;56;-23.003679;-43.322327
;1;0420081112;042;2019-06-01 03:29:01;57;-23.00303 ;-43.32414
;1;0420021124;042;2019-06-01 03:25:04;48;-23.000226;-43.353781
;1;0420081112;042;2019-06-01 06:19:02;15;-23.00303 ;-43.32414
;1;0420021123;042;2019-06-01 05:12:05;55;-23.000226;-43.353781
;1;0420181112;042;2019-06-01 01:13:00;56;-22.973304 ;-43.39867
;1;0420041123;042;2019-06-01 01:13:04;74;-23.000132 ;-43.33874
;1;0420101122;042;2019-06-01 01:12:02;75;-23.004062;-43.322605
;1;0420181113;042;2019-06-01 01:17:01;52;-22.973304 ;-43.39867
;1;0420181113;042;2019-06-01 03:24:03;15;-22.973304 ;-43.39867
;1;0420181113;042;2019-06-01 06:19:04;48;-22.973304 ;-43.39867
;1;0420181113;042;2019-06-01 06:20:01;57;-22.973304 ;-43.39867
;1;0420181123;042;2019-06-01 03:18:01;40;-22.973215;-43.397949
;1;0420041113;042;2019-06-01 03:25:05;53;-23.000465;-43.339516
;1;0420151123;042;2019-06-01 03:17:01;61;-22.997393 ;-43.42608
;1;0420061114;042;2019-06-01 03:32:04;14;-23.000409;-43.334161
;1;0420081212;042;2019-06-01 03:20:00;48;-23.002958;-43.324151
;1;0420111113;042;2019-06-01 05:13:00;59;-22.963859;-43.394382
;1;0420061112;042;2019-06-01 06:20:02;32;-23.000409;-43.334161
;1;0420071124;042;2019-06-01 03:40:04;63;-23.001615;-43.328645
;1;0420061112;042;2019-06-01 03:45:02;07;-23.000409;-43.334161
LOJ2181;3;0420081213;042;2019-06-01 06:19:04;19;-23.002958;-43.324151
;1;0420061212;042;2019-06-01 03:14:04;55;-23.000304;-43.334543
;1;0420141113;042;2019-06-01 03:36:04;53;-22.981353;-43.409694
;1;0420121113;042;2019-06-01 03:19:00;55;-22.967687;-43.397829
;1;0420111122;042;2019-06-01 01:14:00;58;-22.963742;-43.394364
;1;0420111123;042;2019-06-01 03:14:05;53;-22.963742;-43.394364
