TIPO;DATAHORA;CODCET;VELOCIDADE;LATITUDE;LONGITUDE
1;9010-01-20 10:00:00;0450381112;59;-22.98468;-43.21814
1;9010-01-20 10:00:00;0045054111;55;-22.95759;-43.19957
1;9010-01-20 10:00:00;0450441112;58;-22.98537;-43.20337
1;9010-01-20 10:00:02;0450681111;39;-22.98475;-43.20046
1;9010-01-20 10:00:02;0450451112;58;-22.98481;-43.20567
1;9010-01-20 10:00:02;0450251112;43;-22.95417;-43.1917 
1;9010-01-20 10:00:02;0450391112;42;-22.98459;-43.22075
1;9010-01-20 10:00:02;0450591112;31;-22.98431;-43.22281
1;9010-01-20 10:00:03;0450401112;69;-22.98545;-43.22315
1;9010-01-20 10:00:03;0450311112;32;-22.94885;-43.18549
1;9010-01-20 10:00:03;0450471112;55;-22.98547;-43.22387
1;9010-01-20 10:00:03;0450311112;33;-22.94885;-43.18549
1;9010-01-20 10:00:04;0450231112;35;-22.95185;-43.18586
1;9010-01-20 10:00:04;0450561212;53;-22.90751;-43.17307
1;9010-01-20 10:00:04;0450391112;49;-22.98459;-43.22075
1;9010-01-20 10:00:04;0450301112;55;-22.95123;-43.1947 
1;9010-01-20 10:00:05;0450371113;55;-22.98537;-43.20134
1;9010-01-20 10:00:05;0450081113;85;-22.97779;-43.19067
1;9010-01-20 10:00:05;0450641113;27;-22.98358;-43.21857
1;9010-01-20 10:00:12;0450251113;42;-22.95417;-43.1917 
1;9010-01-20 10:00:12;0450091113;30;-22.98001;-43.19114
1;9010-01-20 10:00:13;0450131112;06;-22.96549;-43.1812 
1;9010-01-20 10:00:13;0450231112;51;-22.95185;-43.18586
1;9010-01-20 10:00:14;0450301112;56;-22.95123;-43.1947 
1;9010-01-20 10:00:14;0450431112;39;-22.96463;-43.17531
1;9010-01-20 10:00:15;0450521122;56;-22.91264;-43.20387
1;9010-01-20 10:00:15;0450281112;32;-22.94896;-43.18661
1;9010-01-20 10:00:15;0450631112;43;-22.98367;-43.21749
1;9010-01-20 10:00:20;0450631112;48;-22.98367;-43.21749
1;9010-01-20 10:00:21;0450651112;35;-22.98399;-43.20807
1;9010-01-20 10:00:21;0450381112;44;-22.98468;-43.21814
1;9010-01-20 10:00:22;0450031113;16;-22.96808;-43.18321
1;9010-01-20 10:00:22;0450101113;05;-22.98222;-43.19112
1;9010-01-20 10:00:22;0450311112;48;-22.94885;-43.18549
1;9010-01-20 10:00:23;0450391112;50;-22.98459;-43.22075
1;9010-01-20 10:00:23;0450411112;18;-22.94583;-43.1825 
1;9010-01-20 10:00:23;0450681111;36;-22.98475;-43.20046
1;9010-01-20 10:00:23;0450151113;11;-22.96303;-43.17738
1;9010-01-20 10:00:23;0450151113;14;-22.96303;-43.17738
1;9010-01-20 10:00:24;0450021113;20;-22.96601;-43.17862
1;9010-01-20 10:00:24;0450261112;43;-22.95511;-43.19384
1;9010-01-20 10:00:24;0450561212;51;-22.90751;-43.17307
1;9010-01-20 10:00:24;0450571111;58;-22.90217;-43.17574
1;9010-01-20 10:00:25;0450371112;34;-22.98537;-43.20134
1;9010-01-20 10:00:25;0450281112;39;-22.94896;-43.18661
1;9010-01-20 10:00:25;0450061112;47;-22.97344;-43.18859
1;9010-01-20 10:00:31;0450121113;16;-22.96436;-43.18074
1;9010-01-20 10:00:32;0450291111;53;-22.94931;-43.18919
1;9010-01-20 10:00:32;0450051112;47;-22.97059;-43.18647
1;9010-01-20 10:00:33;0450521122;38;-22.91264;-43.20387
1;9010-01-20 10:00:33;0450641111;53;-22.98358;-43.21857
1;9010-01-20 10:00:34;0450331113;28;-22.94752;-43.18251
1;9010-01-20 10:00:40;0450311113;40;-22.94885;-43.18549
1;9010-01-20 10:00:41;0450231111;34;-22.95185;-43.18586
1;9010-01-20 10:00:41;0450291111;35;-22.94931;-43.18919
1;9010-01-20 10:00:41;0450311112;35;-22.94885;-43.18549
1;9010-01-20 10:00:41;0450311113;35;-22.94885;-43.18549
1;9010-01-20 10:00:41;0450231112;94;-22.95185;-43.18586
1;9010-01-20 10:00:41;0450531112;45;-22.91553;-43.20759
1;9010-01-20 10:00:41;0450061113;01;-22.97344;-43.18859
1;9010-01-20 10:00:42;0450251113;35;-22.95417;-43.1917 
1;9010-01-20 10:00:42;0450111112;05;-22.98341;-43.19042
1;9010-01-20 10:00:43;0450441113;48;-22.98537;-43.20337
1;9010-01-20 10:00:43;0450081112;16;-22.97779;-43.19067
1;9010-01-20 10:00:45;0450671112;44;-22.9849 ;-43.19568
1;9010-01-20 10:00:45;0450231111;45;-22.95185;-43.18586
1;9010-01-20 10:00:45;0450091113;28;-22.98001;-43.19114
1;9010-01-20 10:00:45;0450311113;26;-22.94885;-43.18549
1;9010-01-20 10:00:45;0450671112;36;-22.9849 ;-43.19568
1;9010-01-20 10:00:45;0450051112;21;-22.97059;-43.18647
1;9010-01-20 10:00:50;0450561212;41;-22.90751;-43.17307
1;9010-01-20 10:00:50;0450441113;39;-22.98537;-43.20337
1;9010-01-20 10:00:52;0450421112;38;-22.98476;-43.21166
1;9010-01-20 10:00:52;0450671112;34;-22.9849 ;-43.19568
1;9010-01-20 10:00:52;0450321112;44;-22.951  ;-43.18275
1;9010-01-20 10:00:52;0450571112;40;-22.90217;-43.17574
1;9010-01-20 10:00:53;0045054111;38;-22.95759;-43.19957
1;9010-01-20 10:00:53;0450251112;19;-22.95417;-43.1917 
1;9010-01-20 10:00:55;0450291112;32;-22.94931;-43.18919
1;erro;0450041114;24;-22.96892;-43.18450
1;erro;0450561212;41;-22.90751;-43.17307
1;erro;0450441112;53;-22.98537;-43.20337
1;erro;0045054111;44;-22.95759;-43.19957
1;erro;0450301112;52;-22.95123;-43.1947 
1;erro;0450301112;34;-22.95123;-43.1947 
1;erro;0450611113;34;-22.90598;-43.17746
1;erro;0450341123;59;-22.95383;-43.19737
1;erro;0450421112;29;-22.98476;-43.21166
1;erro;0450521122;69;-22.91264;-43.20387
1;erro;0450301112;34;-22.95123;-43.1947 
1;erro;0450421112;34;-22.98476;-43.21166
1;erro;0450391113;03;-22.98459;-43.22075
1;erro;0450311112;47;-22.94885;-43.18549
1;erro;0450391112;48;-22.98459;-43.22075
1;erro;0450031114;45;-22.96808;-43.18321
1;erro;0045054111;34;-22.95759;-43.19957
1;erro;0450291112;59;-22.94931;-43.18919
1;erro;0450071112;19;-22.97663;-43.19036
1;erro;0450521122;44;-22.91264;-43.20387
1;erro;0450521122;50;-22.91264;-43.20387
